sampleID	task	realtime_M	cpu	peak_rss_G
m_sample_8	METABINNER	123.56666666666666	479.2	2.9
m_sample_2	CONCOCT	98.85	1449.9	0.64638671875
m_sample_8	SEMIBIN2	18.5	552.3	144.5
m_sample_8	METABAT2	11.25	1400.4	0.44150390625
m_sample_3	CONCOCT	99.5	1447.9	0.62333984375
m_sample_9	METABAT2	8.1	1369.0	0.44794921875
m_sample_9	SEMIBIN2	17.183333333333334	549.5	95.6
m_sample_5	METABAT2	7.483333333333333	1360.0	0.3998046875
m_sample_8	CONCOCT	102.16666666666667	1441.2	0.6572265625
m_sample_5	SEMIBIN2	16.116666666666667	523.7	82.4
m_sample_9	CONCOCT	85.21666666666667	1445.1	0.578125
m_sample_5	CONCOCT	56.18333333333333	1277.4	0.54658203125
m_sample_4	COMEBIN	425.03333333333336	711.5	15.0
m_sample_7	COMEBIN	558.5	746.0	15.1
m_sample_9	COMEBIN	450.3	719.6	15.3
m_sample_0	COMEBIN	505.81666666666666	728.7	15.4
m_sample_5	COMEBIN	492.0	726.3	15.2
m_sample_3	COMEBIN	569.4666666666667	734.7	15.6
m_sample_4	COMEBIN	326.03333333333336	702.7	15.0
m_sample_5	COMEBIN	376.18333333333334	726.4	15.2
m_sample_7	COMEBIN	412.23333333333335	719.4	15.2
m_sample_9	COMEBIN	437.3333333333333	714.1	15.3
m_sample_0	COMEBIN	568.05	732.1	15.4
m_sample_6	COMEBIN	584.0333333333333	744.9	15.5
m_sample_1	COMEBIN	615.35	737.0	15.6
m_sample_3	COMEBIN	622.9833333333333	740.9	15.6
m_sample_4	BINNY	774.6166666666667	83.7	2.7
m_sample_2	COMEBIN	793.5166666666667	755.0	15.8
m_sample_5	BINNY	798.65	83.9	3.1
m_sample_8	COMEBIN	818.2333333333333	755.5	15.9
m_sample_7	BINNY	921.9166666666666	85.9	3.1
m_sample_9	BINNY	946.6666666666666	83.6	3.4
m_sample_6	BINNY	972.3	86.0	3.6
m_sample_0	BINNY	995.85	86.6	3.4
m_sample_8	BINNY	990.1833333333333	86.2	4.3
m_sample_3	BINNY	1023.45	87.2	3.8
m_sample_2	BINNY	1114.3666666666666	85.4	4.2
