sampleID	task	realtime_M	cpu	peak_rss_G
hg_sample_8	binny	549.2333333333333	5.075	2.0
hg_sample_0	binny	630.3833333333333	4.975	2.0
hg_sample_17	binny	771.3	5.13125	1.9
hg_sample_18	binny	866.1666666666666	5.30625	2.1
m_sample_7	MaxBin2	50.733333333333334	25.1125	2.2
m_sample_6	MaxBin2	58.55	23.3875	2.4
m_sample_4	MaxBin2	43.6	27.80625	2.4
m_sample_0	MaxBin2	52.083333333333336	24.83125	2.1
m_sample_1	MaxBin2	54.766666666666666	24.4	2.8
m_sample_5	MaxBin2	48.63333333333333	25.26875	2.5
m_sample_3	MaxBin2	58.266666666666666	22.825	2.0
m_sample_2	MaxBin2	63.25	22.0875	2.1
m_sample_9	MaxBin2	55.416666666666664	24.41875	2.4
m_sample_8	MaxBin2	62.03333333333333	22.5125	2.1
m_sample_6	MetaBAT2	9.65	85.51875	0.46845703125
m_sample_7	MetaBAT2	7.516666666666667	85.00625	0.42666015625
m_sample_6	SemiBin2	17.083333333333332	35.95625	NA
m_sample_7	SemiBin2	16.85	35.65	NA
m_sample_4	MetaBAT2	11.65	49.63125	0.34072265625
m_sample_4	SemiBin2	14.216666666666667	35.075	NA
m_sample_4	CONCOCT	46.3	83.075	0.5255859375
m_sample_7	CONCOCT	66.43333333333334	85.7875	0.57587890625
m_sample_6	CONCOCT	95.96666666666667	89.08125	0.6041015625
m_sample_4	MetaBinner	94.13333333333334	47.1	3.0
m_sample_7	MetaBinner	104.73333333333333	49.8125	3.3
m_sample_6	MetaBinner	108.08333333333333	55.675	3.0
m_sample_1	SemiBin2	19.6	35.8625	NA
m_sample_1	MetaBAT2	11.6	87.95	0.46728515625
m_sample_1	CONCOCT	56.516666666666666	86.59375	0.63388671875
m_sample_0	MetaBAT2	8.35	87.2	0.453125
m_sample_0	SemiBin2	16.4	35.0625	NA
m_sample_2	MetaBAT2	10.85	86.4625	0.47001953125
m_sample_2	SemiBin2	18.266666666666666	34.6625	NA
m_sample_3	MetaBAT2	9.65	86.625	0.46982421875
m_sample_0	MetaBinner	114.01666666666667	57.0	2.6
m_sample_1	MetaBinner	125.2	59.1125	2.9
m_sample_3	SemiBin2	17.4	35.69375	NA
m_sample_3	MetaBinner	114.03333333333333	54.525	2.5
m_sample_2	MetaBinner	119.36666666666666	58.4875	2.8
m_sample_5	MetaBinner	95.41666666666667	49.975	3.0
m_sample_9	MetaBinner	103.01666666666667	50.45	4.6
m_sample_0	CONCOCT	121.23333333333333	91.16875	0.56943359375
m_sample_8	MetaBinner	123.56666666666666	59.9	2.9
m_sample_2	CONCOCT	98.85	90.61875	0.64638671875
m_sample_8	SemiBin2	18.5	34.51875	NA
m_sample_8	MetaBAT2	11.25	87.525	0.44150390625
m_sample_3	CONCOCT	99.5	90.49375	0.62333984375
m_sample_9	MetaBAT2	8.1	85.5625	0.44794921875
m_sample_9	SemiBin2	17.183333333333334	34.34375	NA
m_sample_5	MetaBAT2	7.483333333333333	85.0	0.3998046875
m_sample_8	CONCOCT	102.16666666666667	90.075	0.6572265625
m_sample_5	SemiBin2	16.116666666666667	32.73125	NA
